NatEmis,DataYear,ProvinceCD,Province,Institution_Name,Status,Sector,Type_DoE,Phase,Specialization,OwnerLand,OwnerBuild,Ownership,ExDept,PaypointNo,ComponentNo,ExamNo,ExamCentre,GIS_Longitude,GIS_Latitude,GISSource,Magisterial_District,DMunName,LMunName,Ward_ID,EIRegion,EIDistrict,EICircuit,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Telephone,Facsimile,Section21,Section21_Funct,Quintile,NAS,NodalArea,RegistrationDate,NoFeeSchool,Allocation,Urban_Rural,Open_Boarding_school,ANA_School,Full_Service_School,LEARNER NUMBER,EDUCATOR TOTAL
700400660,2016,7,GP,GREENFIELD PRIMARY SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,INDEPENDENT,PRIVATE,PRIVATE,NEW EDUCATION DEPARTMENT,99,99,99,NOT APPLICABLE,28.063475,-26.180079,GISSource,UNKNOWN,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800067,JOHANNESBURG,JOHANNESBURG EAST,NOT APPLICABLE,S MOYO,YEOVILLE,JOHANNESBURG,JOHANNESBURG,"64 FRANCIS STREET, YEOVILLE, JOHANNESBURG, 2198",UNKNOWN,0114870477,0114870477,UNKNOWN,NOT APPLICABLE,NOT APPLICABLE,N,99,UNKNOWN,NOT APPLICABLE,UNKNOWN,URBAN,NO,NO,NO,340,13
700400772,2016,7,GP,FAERY GLEN THERAPY CENTRE,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,PRIVATE,NEW EDUCATION DEPARTMENT,99,99,99,NOT APPLICABLE,27.934079,-26.045139,GISSource,UNKNOWN,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800100,JOHANNESBURG,JOHANNESBURG NORTH,NOT APPLICABLE,UNKOWN,UNKOWN,UNKNOWN,RANDBURG,"381 SPIONKOP AVENUE, NORTHRIDING, RANDBURG, 2162",UNKNOWN,0797361905,0866102397,UNKNOWN,NOT APPLICABLE,NOT APPLICABLE,N,99,UNKNOWN,NOT APPLICABLE,UNKNOWN,URBAN,NO,NO,NO,15,1
700400787,2016,7,GP,BRITISH INTERNATIONAL COLLEGE-PRETORIA,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,TSHWANE SOUTH,TS_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,22,14
700400812,2016,7,GP,WESLEYAN CHRISTIAN ACADEMY,PENDING CLOSE,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,TSHWANE SOUTH,TS_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,9,2
700400822,2016,7,GP,ZA BANTU PRIMARY SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,JOHANNESBURG EAST,JE_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,88,8
700400825,2016,7,GP,PLG WILLOW VIEW ACADEMY,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,EKURHULENI NORTH,EN_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,188,8
700400827,2016,7,GP,ORIAH PRE AND PRIMARY SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,SEDIBENG WEST,SW_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,78,5
700400828,2016,7,GP,SANDTON JUNIOR PRIMARY SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,JOHANNESBURG EAST,JE_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,74,7
700400840,2016,7,GP,CURRO MONAGHAN,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,TSHWANE SOUTH,TS_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,106,12
700400846,2016,7,GP,KINGSWOOD ACADEMY,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,GAUTENG WEST,GW_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,77,27
